Track name,Artist name,Album,Playlist name,Type,ISRC
"Самый дорогой человек","Nervy","Самый дорогой, Часть 1 - EP","Library Songs","Favorite","RUA1D1707146"
"Самый Грустный","ssshhhiiittt!","Remastered","Library Songs","Favorite","RUA0G1800534"
"Самые грустные песни","Peremotka","Самые грустные песни - Single","Library Songs","Favorite","FRX762180826"
"Рустем","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619239"
"Русское Поле Экпериментов","Egor Letov","Русское Поле Эксперимента (Акустика)","Library Songs","Favorite","US6R21349171"
"Русский рок","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619246"
"Русский Мат","Sektor Gaza","Зловещие Мертвецы","Library Songs","Favorite","RUA590700116"
"Русская принцесса","Electroforez","Русская принцесса - Single","Library Songs","Favorite","RUA1H1750056"
"Рукописи не горят","Спектакль Джо","Рукописи не горят","Library Songs","Favorite","RUA1H2189299"
"Рубці","діти інженерів","Рубці - Single","Library Songs","Favorite","SE5BU2257555"
"Родина, вернись домой.","Yuri Shevchuk & Dmitriy Emelianov","Родина, вернись домой. - Single","Library Songs","Favorite","RUB312303101"
"Рига-2015","Electroforez","EP #4 - EP","Library Songs","Favorite","RUA1H1538486"
"Решится само собой","Valentin Strykalo","Развлечение","Library Songs","Favorite","USHM81647758"
"Рельсы","Где Фантом?","До боли знакомое - Single","Library Songs","Favorite","QZHZ52093125"
"Рассматривая звёзды","ATOW","Москва","Library Songs","Favorite","RUA1D2113389"
"Распутин","RADIO TAPOK","Эпоха Империй","Library Songs","Favorite","TCAHH2367427"
"Районы-кварталы","Zveri","Районы-кварталы","Library Songs","Favorite","QMPU51257434"
"Радио волн","ssshhhiiittt!","Последнее лето (Часть  1) - EP","Library Songs","Favorite","RUA0G1900745"
"Пусть поет оружие","Улица Восток","Пусть поет оружие - Single","Library Songs","Favorite","FRX452352745"
"Пульс","Увула","Ничего сверхъестественного - EP","Library Songs","Favorite","QM4TX2002752"
"Птахи","Sudno","Птахи - Single","Library Songs","Favorite","AEA2M2174357"
"Птаха На Ймення Nachtigall","KOMU VNYZ","Реформація (25 Пунктів)","Library Songs","Favorite","QZPLS2174877"
"Прощатися","Meri","Війни в прямому ефірі","Library Songs","Favorite","USCGJ1954032"
"Прощавай (feat. Kuaskio)","SadSvit","Cassette","Library Songs","Favorite","GX53U2038142"
"Просвет","Peremotka","Дождь прошёл в парке отдыха","Library Songs","Favorite","FRX201808772"
"Пролетариат","Буерак","Пролетариат - EP","Library Songs","Favorite","RUA1D1920194"
"Прогноз","діти інженерів","Велкам ту Юкрейн, панк - EP","Library Songs","Favorite","QZFZ22173210"
"Прованс","Elka","Точки расставлены","Library Songs","Favorite","RUB421401560"
"Поход (Из кинофильма Сибириада)","Eduard Artemyev","Инструментальные кинохиты","Library Songs","Favorite","QMDA72150653"
"Последний танец","TINI LIN & лоре́н","Последний танец - Single","Library Songs","Favorite","RUA1D2064522"
"Последний герой","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798112"
"Последнее лето","ssshhhiiittt!","Последнее лето (Часть 2) - EP","Library Songs","Favorite","QZNJW2041962"
"Пора домой (2017)","Peremotka","Ночь эпохи","Library Songs","Favorite","FRX201709263"
"Пора возвращаться домой (feat. Oxxxymiron)","Bi-2","Горизонт событий","Library Songs","Favorite","QM6P41753536"
"Полон","Sudno","Полон - Single","Library Songs","Favorite","AEA2L2248447"
"Полковнику никто не пишет","Bi-2","Би-2","Library Songs","Favorite","RUA741912001"
"Погасли свечи","Timur Mucuraev","Воздух воли не обнять","Library Songs","Favorite","GBLPF0098506"
"Погасли свечи","Тимерболат","Полный сборник песен","Library Songs","Favorite","GBLPF0098506"
"Пластмассовая жизнь","Splean","25-й кадр","Library Songs","Favorite","TCACY1729099"
"Пластинки","Дурной Вкус","Пластинки - Single","Library Songs","Favorite","FR96X1857567"
"підліткове","Ігор Кайдаш","підліткове - Single","Library Songs","Favorite","GX89G2247768"
"Петропавловск","RADIO TAPOK","Эпоха Империй","Library Songs","Favorite","TCAHH2367413"
"Песня красноармейца","Grazhdanskaya Oborona","Звездопад","Library Songs","Favorite","FR10S1906434"
"Песня для девочек","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619238"
"Песнь пустыни","RADIO TAPOK","Наследие","Library Songs","Favorite","TCAGB2216907"
"Персонажі","SadSvit","Персонажі - Single","Library Songs","Favorite","GX53U2090339"
"Перечекаю молодість","Sudno","Перечекаю молодість - Single","Library Songs","Favorite","RUA1H2342640"
"Переродження","Sudno","Переродження - Single","Library Songs","Favorite","AEA2L2356022"
"Передозировка газировкой","me & the boys","Кто сказал, что так думать неправильно? - EP","Library Songs","Favorite","QZHZ62094477"
"Переваги Окупаційного Режиму","Mertvyj Piven","Вибраний Народом","Library Songs","Favorite","QZNWW2181079"
"Первый снег","Peremotka","Начало прекрасной дружбы","Library Songs","Favorite","FRS182068698"
"Первоцвет","Electroforez","505","Library Songs","Favorite","QZ5AB2118727"
"Первомай","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619248"
"Пепел","Увула","Нам остается лишь ждать","Library Songs","Favorite","QM4TX1960780"
"Пачка сигарет","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798107"
"Пароль","Sudno","Тоска - EP","Library Songs","Favorite","RUA1H1825927"
"Париж(дай мені вогню)","Druga Rika","Supernation","Library Songs","Favorite","UALA11400154"
"Пам'ятаю","Sudno","Пам'ятаю - Single","Library Songs","Favorite","AEA2M2391283"
"П'ю з твоїх долонь","Druga Rika","Рекорди","Library Songs","Favorite","UALA10900183"
"Отношения = говно","Electroforez","ЕР #5 - EP","Library Songs","Favorite","QM6N21871235"
"Отель Кооператор","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619236"
"Ответ","me & the boys","Кто сказал, что так думать неправильно? - EP","Library Songs","Favorite","QZHZ62094476"
"Остров","МЫ","Ближе. Part 2","Library Songs","Favorite","RUA1D1815561"
"осознание","конец солнечных дней","обычный грустный реализм - EP","Library Songs","Favorite","QM42K2002981"
"Осінь","Electrobirds","Осінь - Single","Library Songs","Favorite","SE6TI2391490"
"осень","конец солнечных дней","осень - EP","Library Songs","Favorite","QZMHN2036336"
"Опоздал","Electroforez","505","Library Songs","Favorite","QZ5AB2118726"
"Опиум для никого","Agatha Christie","Опиум","Library Songs","Favorite","RUB421201411"
"Операция ""Cоюзная сила""","RADIO TAPOK","Наследие","Library Songs","Favorite","TCAGB2216902"
"Они ушли","Бронзовый шпиль","Я","Library Songs","Favorite","AEA0Q1988638"
"Он постоянно","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619243"
"окремо від тіла","the feels","окремо від тіла - Single","Library Songs","Favorite","PL66V2346285"
"Общество «Память»","Grazhdanskaya Oborona","Всё идёт по плану","Library Songs","Favorite","FRX201724519"
"Обійми","Okean Elzy","Земля","Library Songs","Favorite","USV351348028"
"Ночь","Буерак","Шоу-бизнес","Library Songs","Favorite","RUA1D1921222"
"Ночное рандеву","Chernikovskaya Hata","Ночное рандеву - Single","Library Songs","Favorite","QMFMG2303060"
"Ночное рандеву","Chernikovskaya Hata","Ночное рандеву - Single","Library Songs","Favorite","RUA1D2267741"
"Нон стоп","Пошлая Молли","8 способов как бросить...","Library Songs","Favorite","RUA591800556"
"Ніч","SadSvit","Cassette","Library Songs","Favorite","GX53U2038145"
"Ніде","Sudno","Ніде - Single","Library Songs","Favorite","AEA0Q2359986"
"Нечего ждать","Sizor","Нечего ждать - Single","Library Songs","Favorite","AEA0D2026985"
"Невесёлая песня","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798104"
"Небоскрёбы","me & the boys","Кто сказал, что так думать неправильно? - EP","Library Songs","Favorite","QZHZ62094480"
"Небо славян","Alisa","Сейчас позднее, чем ты думаешь","Library Songs","Favorite","RUA100310302"
"Небо","SadSvit","Небо - Single","Library Songs","Favorite","GX53U2070640"
"Небо","ssshhhiiittt!","Remastered","Library Songs","Favorite","RUA0G1800533"
"Небеса и Ад (Heaven and Hell)","Molchat Doma","Небеса и Ад (Heaven and Hell) - Single","Library Songs","Favorite","US5NR2026002"
"Не твоя війна","Okean Elzy","Без меж","Library Songs","Favorite","QM4TW1558752"
"Не йди","Okean Elzy","Без меж","Library Songs","Favorite","FR2X41626617"
"Не для меня","Июльские Дни","Колокол - EP","Library Songs","Favorite","QZHZ51932594"
"Не для меня","Увула","Я думал у меня получится","Library Songs","Favorite","TCADF1708044"
"Не віталік","Meri","Війни в прямому ефірі","Library Songs","Favorite","USCGJ1954033"
"Не відпускай (Акустична версія)","Sudno","Не відпускай (Акустична версія) - Single","Library Songs","Favorite","AEA0Q2250446"
"Не відпускай","Sudno","Не відпускай - Single","Library Songs","Favorite","AEA0Q2223736"
"Наши юные смешные голоса","Nogu Svelo!","В темноте","Library Songs","Favorite","QMBZ91334029"
"Наши дни","Улица Восток","В последний раз","Library Songs","Favorite","FR26V2072420"
"Наше лето","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619245"
"Натаха","Жадан і собаки","Мадонна","Library Songs","Favorite","TCAEK1947664"
"Нарцисс","Розовый Призрак","Комната страха - EP","Library Songs","Favorite","RUA1D2061098"
"Нам остается лишь ждать","Увула","Нам остается лишь ждать","Library Songs","Favorite","QM4TX1960778"
"навсегда","Дурной Вкус","навсегда - Single","Library Songs","Favorite","RUA1D2114898"
"Наваждение","Холодный звонок","Наваждение - EP","Library Songs","Favorite","AEA0Q1931622"
"На Моем Велосипеде","ssshhhiiittt!","Remastered","Library Songs","Favorite",""
"На Моей Луне","Мёртвые Дельфины","Одуванчики Для Канареек","Library Songs","Favorite","TCAFD2041405"
"На Заре (Milennium Version)","Alyans","На заре (Part 1)","Library Songs","Favorite","RUB521208629"
"На Заре (Milennium Version)","Alyans","На заре (Part 1)","Library Songs","Favorite","RUB521208629"
"На Дне","Molchat Doma","Этажи","Library Songs","Favorite","AEA0D1846140"
"На rлубине","Bahroma","Ипи - EP","Library Songs","Favorite","RUB731572254"
"Мяу","Дурной Вкус","Светомузыка - EP","Library Songs","Favorite","RUA1D2048303"
"Мясо","Zemfira","Мясо - Single","Library Songs","Favorite","RUA322201129"
"Мясной бор","RADIO TAPOK","Наследие","Library Songs","Favorite","TCAGB2216918"
"Мы штурмуем небеса","ArktidA","Долг и право - EP","Library Songs","Favorite","AEA0Q2001834"
"Мы идём в тишине","Cherniy Lukich","Жаворонок","Library Songs","Favorite","AEA2M2326873"
"Мы идём в тишине","Grazhdanskaya Oborona","Концерт в к/т Улан-Батор, Москва","Library Songs","Favorite","RUAEX2233650"
"Мы идём в тишине","Cherniy Lukich","Кончились патроны","Library Songs","Favorite",""
"Мы идем в тишине","Евгения Скачкова & Александра Кузнецова","Русский рок - релиз первый","Library Songs","Favorite","TCAEE1913114"
"Мы","Увула","Я думал у меня получится","Library Songs","Favorite","TCADF1708057"
"Мы","Dajte Tank (!)","На вырост - Single","Library Songs","Favorite","RUA1H1801475"
"Музыка вечер","Peremotka","Музыка вечер - Single","Library Songs","Favorite","RUAGT2311065"
"Моя Оборона","Egor Letov","Русское Поле Эксперимента (Акустика)","Library Songs","Favorite","US6R21349160"
"Моя любовь на пятом этаже","Gruppa Sekret","Секрет","Library Songs","Favorite","RUB311405110"
"Моя империя","ArktidA","Мой друг - EP","Library Songs","Favorite","AEA0Q2001825"
"Моя звезда","Vyacheslav Butusov","Избранное","Library Songs","Favorite","RUB421700867"
"Москва — Стерлитамак","Inturist","Comfort","Library Songs","Favorite","QMBZ92083431"
"Москва","ATOW","Москва","Library Songs","Favorite","RUA1D2113388"
"Море (Най цілий світ пропаде)","Skryabin","Технофайт 1999","Library Songs","Favorite","QM4TW2009148"
"море","ssshhhiiittt!","Третья жизнь","Library Songs","Favorite","QZNJW2006001"
"Молодість","SadSvit","Cassette","Library Songs","Favorite","GX53U2038140"
"Мой вейп","Арсений Креститель","31","Library Songs","Favorite","TCADM1831699"
"Моё сердце","Splean","25-й кадр","Library Songs","Favorite","TCACY1729087"
"Місто Марії","Okean Elzy","Місто Марії - Single","Library Songs","Favorite","FR96X2242522"
"Мікрорайон","Sudno","Мікрорайон - Single","Library Songs","Favorite","RUA1H2321043"
"Мить","Okean Elzy","Без меж","Library Songs","Favorite","FR2X41586717"
"Мир не видит твоей простоты","Peremotka","Дождь прошёл в парке отдыха","Library Songs","Favorite","FRX201808773"
"Минає день, минає ніч","Mertvyj Piven","Радіо Афродита","Library Songs","Favorite","FR6V80652615"
"Ми Так Жили Немов Співали Джаз...","Mertvyj Piven","Made in ЮА","Library Songs","Favorite","QZNWW2185278"
"Ми помрем не в Парижі (feat. Каша Сальцова)","Mertvyj Piven","Вибраний Народом","Library Songs","Favorite","QZNWW2181078"
"Ми помрем не в Парижі","Mertvyj Piven","1989 - Вибране - 1997","Library Songs","Favorite","QZNWW2145151"
"Меч Арея","Тінь Сонця","Грім в ковальні Бога","Library Songs","Favorite","UAME11730020"
"Метеорит","ssshhhiiittt!","Remastered","Library Songs","Favorite","RUA0G1800532"
"Мертвые Дельфины","Ведьмины сны","Original Evil","Library Songs","Favorite","AEA0D2272390"
"Мертвое время","ssshhhiiittt!","Вторая жизнь","Library Songs","Favorite","RUA0G1700195"
"Мене вже немає","Tartak","Ввічність","Library Songs","Favorite","UABG11500148"
"Марш Артилеріі","KOMU VNYZ","Марш Артилеріі - Single","Library Songs","Favorite","QZMEP2257473"
"Маншигвери","Mertvyj Piven","Радіо Афродита","Library Songs","Favorite","FR6V80652618"
"Мама, мы все тяжело больны","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798092"
"Мама-анархия","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798093"
"мальчик","кис-кис","Магазин игрушек для взрослых - EP","Library Songs","Favorite","FR96X1928590"
"Магазины","Буерак","Корни - EP","Library Songs","Favorite","RUA1D1919985"
"Люди-инвалиды","Molchat Doma","Трибьют t.A.T.u. ""200 по встречной""","Library Songs","Favorite","FRX762161767"
"Люди Надоели","Molchat Doma","С Крыш Наших Домов","Library Songs","Favorite","AEA0D1847463"
"Люди","Dajte Tank (!)","Человеко-часы","Library Songs","Favorite","FRX762091723"
"Любочка","Masha & Medvedi","Солнцеклёш","Library Songs","Favorite","RUA599800018"
"ЛУНА (feat. Хаски)","Озёра","ФЕРРАРИ - EP","Library Songs","Favorite","RUA0G1608450"
"Лузер","Увула","Никак","Library Songs","Favorite","TCADQ1847593"
"Лошади","Улица Восток","В последний раз","Library Songs","Favorite","FR26V2072423"
"Лондон, гуд бай","Car-Man","Вокруг света","Library Songs","Favorite","RUB421303765"
"Літо","SadSvit","Cassette","Library Songs","Favorite","GX53U2038141"
"Ліра","KOMU VNYZ","Реформація (25 Пунктів)","Library Songs","Favorite","QZPLS2174870"
